# Samples: 8K of event 'instructions'
# Event count (approx.): 555386358179
#
# Overhead       Samples  Symbol                                        Source:Line                                                                                      IPC   [IPC Coverage]
# ........  ............  ............................................  ...............................................................................................  ....................
#
     0.01%             1  [.] _nvme_ns_cmd_rw                           /usr/include/x86_64-linux-gnu/bits/string_fortified.h:59                                         -      -            
     0.01%             1  [.] td_io_queue                               /home/zebin/fio/ioengines.c:385                                                                  -      -            
     0.01%             1  [.] 0x0000000000040530                        spdk_nvme[40530]                                                                                 -      -            
     0.01%             1  [.] thread_main                               /home/zebin/fio/backend.c:430                                                                    -      -            
     0.01%             1  [.] io_u_mark_complete                        /home/zebin/fio/io_u.c:1001                                                                      -      -            
     0.01%             1  [.] nvme_pcie_qpair_build_contig_request      /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1265                                       -      -            
     0.01%             1  [.] utime_since_now                           /home/zebin/fio/gettime.c:474                                                                    -      -            
     0.01%             1  [.] fio_gettime                               /home/zebin/fio/gettime.c:224                                                                    -      -            
     0.01%             1  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:897                                        -      -            
     0.01%             1  [.] io_u_queued_complete                      /home/zebin/fio/io_u.c:2156                                                                      -      -            
     0.01%             1  [.] get_io_u                                  /home/zebin/fio/io_u.c:1770                                                                      -      -            
     0.01%             1  [.] __get_io_u                                /home/zebin/fio/io_u.c:1591                                                                      -      -            
     0.01%             2  [.] calibrate_cpu_clock                       /home/zebin/fio/gettime.c:438                                                                    -      -            
     0.01%             2  [.] calibrate_cpu_clock                       /home/zebin/fio/gettime.c:437                                                                    -      -            
     0.01%             1  [.] 0x0000000000047a74                        ??:0                                                                                             -      -            
     0.01%             1  [k] __cond_resched                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/core.c:8227                    -      -            
     0.01%             1  [k] fault_dirty_shared_page                   /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/mm/memory.c:2936                            -      -            
     0.00%             1  [k] release_pages                             /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/page-flags.h:196            -      -            
     0.00%             1  [k] current_time                              /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/inode.c:2314                             -      -            
     0.00%             1  [.] 0x00000000001b1dbd                        ??:0                                                                                             -      -            
     0.00%             1  [k] _raw_spin_lock_irq                        /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/atomic.h:202         -      -            
     0.00%             1  [.] 0x0000000000047ba9                        ??:0                                                                                             -      -            
     0.00%             4  [k] iterate_groups                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/cgroup.h:557                -      -            
     0.00%             3  [k] put_prev_entity                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:4585                    -      -            
     0.00%             2  [k] dequeue_entity                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:1203                    -      -            
     0.00%             2  [.] fstatat64                                 ??:0                                                                                             -      -            
     0.00%             2  [k] psi_group_change                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:694                      -      -            
     0.00%             1  [.] __snprintf_chk                            ??:0                                                                                             -      -            
     0.00%             1  [k] copy_user_generic_unrolled                /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/arch/x86/lib/copy_user_64.S:87              -      -            
     0.00%             1  [k] filename_lookup                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:602                              -      -            
     0.00%             1  [.] 0x00000000000881a1                        ??:0                                                                                             -      -            
     0.00%             9  [.] _IO_default_xsputn                        ??:0                                                                                             -      -            
     0.00%             1  [k] generic_permission                        /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/mnt_idmapping.h:47          -      -            
     0.00%             1  [k] psi_task_switch                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:881                      -      -            
     0.00%             1  [k] syscall_return_via_sysret                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/arch/x86/entry/entry_64.S:208               -      -            
     0.00%             2  [k] update_load_avg                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:3880                    -      -            
     0.00%             1  [k] __handle_mm_fault                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/mm.h:2181                   -      -            
     0.00%             4  [k] finish_task_switch.isra.0                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/sched/mm.h:48               -      -            
     0.00%             1  [k] memcg_slab_post_alloc_hook                /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/page-flags.h:199            -      -            
     0.00%             3  [k] update_cfs_group                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:3227                    -      -            
     0.00%             2  [k] __perf_event_task_sched_out               /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/events/core.c:3495                   -      -            
     0.00%             2  [.] usleep                                    ??:0                                                                                             -      -            
     0.00%             1  [k] __virt_addr_valid                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/arch/x86/mm/physaddr.c:58                   -      -            
     0.00%             1  [k] dequeue_entity                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:4421                    -      -            
     0.00%             1  [k] dequeue_task_fair                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:4070                    -      -            
     0.00%             1  [k] hrtimer_nanosleep                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/time/hrtimer.c:2113                  -      -            
     0.00%             1  [k] schedule                                  /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/bitops.h:207         -      -            
     0.00%             1  [k] strncpy_from_user                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/word-at-a-time.h:49  -      -            
     0.00%             3  [k] finish_task_switch.isra.0                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/atomic.h:123         -      -            
     0.00%             8  [.] getenv                                    ??:0                                                                                             -      -            
     0.00%             7  [k] psi_group_change                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:734                      -      -            
     0.00%             6  [k] __rseq_handle_notify_resume               /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/rseq.c:279                           -      -            
     0.00%             4  [k] entry_SYSCALL_64                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/arch/x86/entry/entry_64.S:90                -      -            
     0.00%             4  [k] psi_group_change                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:234                      -      -            
     0.00%             4  [k] psi_group_change                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:669                      -      -            
     0.00%             4  [k] _raw_spin_lock                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/atomic.h:202         -      -            
     0.00%             1  [k] down_read                                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/locking/rwsem.c:240                  -      -            
     0.00%             3  [k] do_nanosleep                              /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/hrtimer.h:283               -      -            
     0.00%             3  [k] exit_to_user_mode_prepare                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/entry-common.h:88    -      -            
     0.00%             3  [k] native_sched_clock                        /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/msr.h:195            -      -            
     0.00%             3  [k] psi_task_switch                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:861                      -      -            
     0.00%             2  [k] update_dl_rq_load_avg                     /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/pelt.c:139                     -      -            
     0.00%             2  [k] __calc_delta                              /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:221                     -      -            
     0.00%             2  [k] __check_object_size                       /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/page-flags.h:199            -      -            
     0.00%             2  [k] __d_lookup_rcu                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/dcache.c:2320                            -      -            
     0.00%             2  [k] __lookup_mnt                              /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namespace.c:630                          -      -            
     0.00%             2  [k] __schedule                                /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/core.c:5547                    -      -            
     0.00%             2  [k] __schedule                                /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/stats.h:240                    -      -            
     0.00%             2  [k] __update_load_avg_cfs_rq                  /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/pelt.c:337                     -      -            
     0.00%             2  [k] __virt_addr_valid                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/mmzone.h:1360               -      -            
     0.00%             2  [k] __x64_sys_clock_nanosleep                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/time/posix-timers.c:1263             -      -            
     0.00%             2  [k] __x64_sys_clock_nanosleep                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/time/posix-timers.c:1276             -      -            
     0.00%             2  [k] __x64_sys_newfstatat                      /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/stat.c:405                               -      -            
     0.00%             2  [k] check_stack_object                        /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/mm/usercopy.c:41                            -      -            
     0.00%             2  [k] do_syscall_64                             /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/arch/x86/entry/common.c:76                  -      -            
     0.00%             2  [k] filename_lookup                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:620                              -      -            
     0.00%             2  [k] hrtimer_nanosleep                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/time/hrtimer.c:2098                  -      -            
     0.00%             2  [k] inode_permission                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:455                              -      -            
     0.00%             2  [k] link_path_walk.part.0.constprop.0         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:2276                             -      -            
     0.00%             2  [k] path_lookupat                             /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:2440                             -      -            
     0.00%             2  [k] psi_group_change                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:754                      -      -            
     0.00%             2  [k] psi_group_change                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:757                      -      -            
     0.00%             2  [k] psi_group_change                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:759                      -      -            
     0.00%             2  [k] put_prev_entity                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:4606                    -      -            
     0.00%             2  [k] reweight_entity                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:3100                    -      -            
     0.00%             2  [k] set_root                                  /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:933                              -      -            
     0.00%             2  [.] stat64                                    ??:0                                                                                             -      -            
     0.00%             2  [k] strncpy_from_user                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/uaccess.h:576        -      -            
     0.00%             2  [k] switch_fpu_return                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/fpu/internal.h:436   -      -            
     0.00%             2  [k] timerqueue_add                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/rbtree.h:172                -      -            
     0.00%             2  [k] update_curr                               /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/sched.h:1463                   -      -            
     0.00%             2  [k] update_load_avg                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:3706                    -      -            
     0.00%             2  [.] 0x0000000000076db1                        ??:0                                                                                             -      -            
     0.00%             2  [.] 0x000000000008850a                        ??:0                                                                                             -      -            
     0.00%             2  [.] 0x00000000001b173b                        ??:0                                                                                             -      -            
     0.00%             2  [.] 0x00000000001b1970                        ??:0                                                                                             -      -            
     0.00%           922  [k] native_write_msr                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/jump_label.h:27      -      -            
     0.00%             1  [k] __cgroup_account_cputime                  /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/cgroup/rstat.c:364                   -      -            
     0.00%             1  [k] __d_lookup_rcu                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/word-at-a-time.h:84  -      -            
     0.00%             1  [k] __d_lookup_rcu                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/dcache.c:2271                            -      -            
     0.00%             1  [k] __d_lookup_rcu                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/dcache.c:2298                            -      -            
     0.00%             1  [k] __d_lookup_rcu                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/dcache.c:2350                            -      -            
     0.00%             1  [k] __do_sys_newfstatat                       /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/stat.c:415                               -      -            
     0.00%             1  [k] __get_user_8                              /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/arch/x86/lib/getuser.S:100                  -      -            
     0.00%             1  [k] __get_user_8                              /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/arch/x86/lib/getuser.S:101                  -      -            
     0.00%             1  [k] __lookup_mnt                              /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namespace.c:115                          -      -            
     0.00%             1  [k] __schedule                                /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/preempt.h:66         -      -            
     0.00%             1  [k] __schedule                                /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/core.c:6271                    -      -            
     0.00%             1  [k] __schedule                                /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/stats.h:24                     -      -            
     0.00%             1  [k] __update_load_avg_cfs_rq                  /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/pelt.c:112                     -      -            
     0.00%             1  [k] __update_load_avg_cfs_rq                  /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/pelt.c:325                     -      -            
     0.00%             1  [k] __update_load_avg_cfs_rq                  /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/pelt.c:326                     -      -            
     0.00%             1  [k] __update_load_avg_cfs_rq                  /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/pelt.c:329                     -      -            
     0.00%             1  [k] __update_load_avg_se                      /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/pelt.c:150                     -      -            
     0.00%             1  [k] __update_load_avg_se                      /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/pelt.c:207                     -      -            
     0.00%             1  [k] __update_load_avg_se                      /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/pelt.c:322                     -      -            
     0.00%             1  [k] __update_load_avg_se                      /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/sched.h:747                    -      -            
     0.00%             1  [k] __virt_addr_valid                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/arch/x86/mm/physaddr.h:7                    -      -            
     0.00%             1  [k] __x64_sys_clock_nanosleep                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/time/posix-timers.c:1254             -      -            
     0.00%             1  [k] _copy_from_user                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/uaccess_64.h:46      -      -            
     0.00%             1  [k] _raw_spin_lock_irqsave                    /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/atomic.h:202         -      -            
     0.00%             1  [k] _raw_spin_unlock_irqrestore               /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/paravirt.h:590       -      -            
     0.00%             1  [k] check_stack_object                        /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/mm/usercopy.c:35                            -      -            
     0.00%             1  [.] check_status_file                         /home/zebin/fio/stat.c:2800                                                                      -      -            
     0.00%             1  [.] check_status_file                         /usr/include/x86_64-linux-gnu/bits/stdio2.h:71                                                   -      -            
     0.00%             1  [k] common_nsleep                             /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/time/posix-timers.c:1233             -      -            
     0.00%             1  [k] common_nsleep                             /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/time/posix-timers.c:1239             -      -            
     0.00%             1  [k] copy_user_generic_unrolled                /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/arch/x86/lib/copy_user_64.S:88              -      -            
     0.00%             1  [k] cpuacct_charge                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/sched.h:2126                -      -            
     0.00%             1  [k] dequeue_entity                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/jump_label.h:27      -      -            
     0.00%             1  [k] dequeue_entity                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:1202                    -      -            
     0.00%             1  [k] dequeue_entity                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:4430                    -      -            
     0.00%             1  [k] dequeue_entity                            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/sched.h:740                    -      -            
     0.00%             1  [k] dequeue_task_fair                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:5719                    -      -            
     0.00%             1  [k] dequeue_task_fair                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:5728                    -      -            
     0.00%             1  [k] dequeue_task_fair                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:5733                    -      -            
     0.00%             1  [k] do_nanosleep                              /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/freezer.h:57                -      -            
     0.00%             1  [k] entry_SYSCALL_64                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/arch/x86/entry/entry_64.S:118               -      -            
     0.00%             1  [k] exit_to_user_mode_prepare                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/tracehook.h:188             -      -            
     0.00%             1  [k] fpregs_assert_state_consistent            /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/arch/x86/kernel/fpu/core.c:421              -      -            
     0.00%             1  [k] generic_permission                        /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:344                              -      -            
     0.00%             1  [k] generic_permission                        /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:438                              -      -            
     0.00%             1  [k] get_nohz_timer_target                     /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/core.c:1008                    -      -            
     0.00%             1  [k] hrtimer_start_range_ns                    /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/time/hrtimer.c:206                   -      -            
     0.00%             1  [k] inode_permission                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/device_cgroup.h:21          -      -            
     0.00%             1  [k] inode_permission                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:501                              -      -            
     0.00%             1  [k] kmem_cache_alloc                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/mm/slub.c:3175                              -      -            
     0.00%             1  [k] kmem_cache_alloc                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/mm/slub.c:3204                              -      -            
     0.00%             1  [k] kmem_cache_alloc                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/mm/slub.c:3232                              -      -            
     0.00%             1  [k] kmem_cache_free                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/mm.h:900                    -      -            
     0.00%             1  [k] kmem_cache_free                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/page-flags.h:199            -      -            
     0.00%             1  [k] kmem_cache_free                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/mm/slub.c:3517                              -      -            
     0.00%             1  [k] ktime_get                                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/time/timekeeping.c:820               -      -            
     0.00%             1  [k] link_path_walk.part.0.constprop.0         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/word-at-a-time.h:49  -      -            
     0.00%             1  [k] link_path_walk.part.0.constprop.0         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:2151                             -      -            
     0.00%             1  [k] link_path_walk.part.0.constprop.0         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:2156                             -      -            
     0.00%             1  [k] link_path_walk.part.0.constprop.0         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:2217                             -      -            
     0.00%             1  [k] link_path_walk.part.0.constprop.0         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:2271                             -      -            
     0.00%             1  [k] lookup_fast                               /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:1629                             -      -            
     0.00%             1  [k] lookup_fast                               /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:853                              -      -            
     0.00%             1  [k] memcg_slab_free_hook                      /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/page_64.h:20         -      -            
     0.00%             1  [k] memcg_slab_free_hook                      /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/page-flags.h:199            -      -            
     0.00%             1  [k] newidle_balance                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:10840                   -      -            
     0.00%             1  [k] newidle_balance                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:10864                   -      -            
     0.00%             1  [k] path_init                                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:2321                             -      -            
     0.00%             1  [k] path_init                                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:2334                             -      -            
     0.00%             1  [k] path_init                                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:2360                             -      -            
     0.00%             1  [k] pick_next_task_fair                       /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:7287                    -      -            
     0.00%             1  [k] pick_next_task_idle                       /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/idle.c:454                     -      -            
     0.00%             1  [k] psi_group_change                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/seqlock.h:473               -      -            
     0.00%             1  [k] psi_group_change                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:238                      -      -            
     0.00%             1  [k] psi_group_change                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:247                      -      -            
     0.00%             1  [k] psi_group_change                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:675                      -      -            
     0.00%             1  [k] psi_group_change                          /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:747                      -      -            
     0.00%             1  [k] psi_task_switch                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/psi.c:894                      -      -            
     0.00%             1  [k] put_prev_entity                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:4194                    -      -            
     0.00%             1  [k] put_prev_entity                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:4199                    -      -            
     0.00%             1  [k] put_prev_entity                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/sched/fair.c:4605                    -      -            
     0.00%             1  [k] putname                                   /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:270                              -      -            
     0.00%             1  [k] rb_insert_color                           /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./include/linux/rbtree_augmented.h:173      -      -            
     0.00%             1  [k] read_tsc                                  /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/msr.h:224            -      -            
     0.00%             1  [.] reap_threads                              /home/zebin/fio/backend.c:2031                                                                   -      -            
     0.00%             1  [.] run_threads                               /home/zebin/fio/backend.c:2548                                                                   -      -            
     0.00%             1  [k] set_root                                  /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:925                              -      -            
     0.00%             1  [k] slab_free_freelist_hook.constprop.0       /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/mm/slub.c:1736                              -      -            
     0.00%             1  [k] step_into                                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:1428                             -      -            
     0.00%             1  [k] step_into                                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:1484                             -      -            
     0.00%             1  [k] step_into                                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:1800                             -      -            
     0.00%             1  [k] step_into                                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:1806                             -      -            
     0.00%             1  [k] step_into                                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/fs/namei.c:1816                             -      -            
     0.00%             1  [k] strncpy_from_user                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/lib/strncpy_from_user.c:145                 -      -            
     0.00%             1  [k] switch_fpu_return                         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/arch/x86/kernel/fpu/core.c:404              -      -            
     0.00%             1  [k] syscall_enter_from_user_mode              /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/current.h:15         -      -            
     0.00%             1  [k] syscall_exit_to_user_mode                 /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/kernel/entry/common.c:281                   -      -            
